Month,Date,Time,Level,Component,PID,Content,LineId,EventId,EventTemplate
Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,1,E17,authentication failure log name <*> tty DEVs user host <*> 
Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown,2,E27,check pass user unknown
Jun,14,15:16:02,combo,sshd(pam_unix),19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,3,E17,authentication failure log name <*> tty DEVs user host <*> 
Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,4,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,5,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,6,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,7,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,8,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,9,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,10,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,11,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20897,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,12,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,02:04:59,combo,sshd(pam_unix),20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,13,E27,authentication failure log name <*> tty DEVs user host <*> net <*> user root
Jun,15,04:06:18,combo,su(pam_unix),21416,session opened for user cyrus by (uid=0),14,E102,session opened for user <*>  <*>
Jun,15,04:06:19,combo,su(pam_unix),21416,session closed for user cyrus,15,E101,session closed for user <*> 
Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],16,E8,ALERT exited abnormally with <*>
Jun,15,04:12:42,combo,su(pam_unix),22644,session opened for user news by (uid=0),17,E102,session opened for user <*> s <*>
Jun,15,04:12:43,combo,su(pam_unix),22644,session closed for user news,18,E101,session closed for user <*> s
