Date,Time,Level,Component,Content,LineId,EventId,EventTemplate
17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",1,E22,Registered signal handlers for TERM
17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",2,E26,Changing view cls yarn uri
17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",3,E26,Changing modify cls yarn uri
17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",4,E26,Security Manager authentication disabled cls disabled users with view permissions Set yarn uri users with modify permissions Set yarn uri
17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",5,E26,Changing view cls yarn uri
17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",6,E26,Changing modify cls yarn uri
17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",7,E26,Security Manager authentication disabled cls disabled users with view permissions Set yarn uri users with modify permissions Set yarn uri
17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,8,E18,<*> Logger started
17/06/09,20:10:41,INFO,Remoting,Starting remoting,9,E31,Starting emoting
17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],10,E6,emoting started listening addresses akka tcp spark Executor Actor System meso slave <*>
17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,11,E34,Successfully started service ' park Executor Actor System ' port <*>
17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,12,E7,Created local directory opt hdf node manager user cache uri app cache application <*> block <*>
17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,13,E18,Memory Store started with capacity <*>
17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@ <*> ,14,E6,Connecting driver spark Coarse Grained Scheduler
17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,15,E32,Successfully registered with driver
17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,16,E31,Starting executor <*> host meso slave <*>
