Time,Level,Content,LineId,EventId,EventTemplate
Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,2,E1,mod child worker error state <*>
Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,3,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,4,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,5,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,6,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,7,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,8,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,9,E1,mod child worker error state <*>
Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,10,E1,mod child worker error state <*>
Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,11,E1,mod child worker error state <*>
Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,12,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,13,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,14,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,15,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,16,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,17,E1,mod child worker error state <*>
Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,18,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,19,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,20,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,21,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,22,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,23,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,24,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,25,E1,mod child worker error state <*>
Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,26,E1,mod child worker error state <*>
Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,27,E1,mod child worker error state <*>
Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,28,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,29,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,30,E1,<*> Found child <*> scoreboard slot <*>
Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,31,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,32,E2,worker etc httpd conf workers <*> properties
Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,33,E1,mod child worker error state <*>
Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,34,E1,mod child worker error state <*>
