Time,Component,Pid,Content,LineId,EventId,EventTemplate
20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,1,E42,Stand Step Changed <*>
20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,2,E69,Extend <*>
20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,3,E41,Receive action android intent action SCREEN<*> 
20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,4,E43,process Handle Broadcast Action action android intent action <*> 
20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,5,E12,flush sensor data
20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,6,E22,<*> et Today Total Detail Steps <*>
20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,7,E22,<*> et Today Total Detail Steps <*>
20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,8,E42,Stand Step Changed <*>
20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,9,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,10,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,11,E47,REPORT <*>
20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,12,E69,Extend <*>
20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,13,E42,Stand Step Changed <*>
20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,14,E42,Stand Step Changed <*>
20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,15,E69,Extend <*>
20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,16,E22,get Today Total Detail Steps <*>
20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,17,E58,set Today Total Detail Steps <*>
20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,18,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,19,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,20,E47,REPORT <*>
20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,21,E42,Stand Step Changed <*>
20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,22,E69,Extend <*>
20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,23,E22,get Today Total Detail Steps <*>
20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,24,E58,set Today Total Detail Steps <*>
20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,25,E4,calculate Calories With Cache total Calories <*>
20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,26,E3,calculate Altitude With Cache total Altitude <*>
20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,27,E47,REPORT <*>
20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,28,E42,Stand Step Changed <*>
20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,29,E69,Extend <*>
20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,30,E22,get Today Total Detail Steps <*>
